image_a,image_b,source_dataset_a,source_dataset_b,original_path_a,original_path_b,original_class_a,original_class_b,unified_class_a,unified_class_b,hash_type,hash_value_or_comparison,similarity_or_distance,duplicate_status,cross_dataset,label_relation,recommended_action,reason
current_freshwater-d72f22c77e4a,current_freshwater-6c5240944113,current_freshwater,current_freshwater,train_split/EUS/EUS_95.jpg,train_split/EUS/EUS_aug_6.jpg,EUS,EUS,EUS Disease,EUS Disease,dhash,2124a40f0f3c2c45,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-8dc502a5d750,current_freshwater-912bcb03ffe7,current_freshwater,current_freshwater,test_split/EUS_EUS_94.jpg,train_split/EUS/EUS_aug_201.jpg,EUS,EUS,EUS Disease,EUS Disease,dhash,2124a60f1f3c2041,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-d79177398f36,current_freshwater-2cf19561be60,current_freshwater,current_freshwater,test_split/Viral diseases White tail disease_Viral diseases White tail disease_66.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_195.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-d79177398f36,kaptai-1aeb818ff6b7,current_freshwater,kaptai,test_split/Viral diseases White tail disease_Viral diseases White tail disease_66.jpg,Tail And Fin Rot/download.jpg,Viral diseases White tail disease,Tail And Fin Rot,White Tail Disease,,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,True,UNRESOLVED_LABEL,REVIEW,"identical dHash, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-d79177398f36,roboflow-679ed18239f8,current_freshwater,roboflow,test_split/Viral diseases White tail disease_Viral diseases White tail disease_66.jpg,train/Viral diseases White tail disease/Viral-diseases-White-tail-disease-7-_jpg.rf.615f44d201d8d31fc7a7aac295c7c8f6.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-2cf19561be60,kaptai-1aeb818ff6b7,current_freshwater,kaptai,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_195.jpg,Tail And Fin Rot/download.jpg,Viral diseases White tail disease,Tail And Fin Rot,White Tail Disease,,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,True,UNRESOLVED_LABEL,REVIEW,"identical dHash, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-2cf19561be60,roboflow-679ed18239f8,current_freshwater,roboflow,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_195.jpg,train/Viral diseases White tail disease/Viral-diseases-White-tail-disease-7-_jpg.rf.615f44d201d8d31fc7a7aac295c7c8f6.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
kaptai-1aeb818ff6b7,roboflow-679ed18239f8,kaptai,roboflow,Tail And Fin Rot/download.jpg,train/Viral diseases White tail disease/Viral-diseases-White-tail-disease-7-_jpg.rf.615f44d201d8d31fc7a7aac295c7c8f6.jpg,Tail And Fin Rot,Viral diseases White tail disease,,White Tail Disease,dhash,2135340f0f1b1606,0,NEAR_DUPLICATE,True,UNRESOLVED_LABEL,REVIEW,"identical dHash, a label is unresolved; the match is evidence for the mapping decision"
mendeley-d88ff77b39a4,mendeley-2a19d2b9065e,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103704.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103705.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-d88ff77b39a4,mendeley-8c66ebe430fd,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103704.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_84/IMG20260315103706.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-d88ff77b39a4,mendeley-8e1c5e2a5e1f,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103704.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_85/IMG20260315103707.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-d88ff77b39a4,mendeley-a7bab8fc1931,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103704.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_86/IMG20260315103708.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-2a19d2b9065e,mendeley-8c66ebe430fd,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103705.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_84/IMG20260315103706.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-2a19d2b9065e,mendeley-8e1c5e2a5e1f,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103705.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_85/IMG20260315103707.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-2a19d2b9065e,mendeley-a7bab8fc1931,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_83/IMG20260315103705.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_86/IMG20260315103708.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-8c66ebe430fd,mendeley-8e1c5e2a5e1f,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_84/IMG20260315103706.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_85/IMG20260315103707.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-8c66ebe430fd,mendeley-a7bab8fc1931,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_84/IMG20260315103706.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_86/IMG20260315103708.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-8e1c5e2a5e1f,mendeley-a7bab8fc1931,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_85/IMG20260315103707.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_86/IMG20260315103708.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,215c7cc7eff8e8e4,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-a9d6eb8920dd,current_freshwater-bdcfefebb3bf,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_82.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_212.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,2221c1c1c3979130,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-c11abea7c313,roboflow-0ea3dda77c3a,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_265.jpg,train/Healthy Fish/Healthy-Fish-63-_jpg.rf.91eb7536e106682ee4f30fc8780d3460.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,230304060f1f1b1b,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
roboflow-cfeeb7161d1d,roboflow-0ea3dda77c3a,roboflow,roboflow,test/Healthy Fish/Healthy-Fish-24-_jpg.rf.0f5a0edce374bf6f106b30fc2c180913.jpg,train/Healthy Fish/Healthy-Fish-63-_jpg.rf.91eb7536e106682ee4f30fc8780d3460.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,230304060f1f1b1b,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-d0c3e1e386a3,current_freshwater-42c4423619d0,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_164.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_250.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,2323339302032203,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-0ad8e9e2ee0d,current_freshwater-d820917f88ee,current_freshwater,current_freshwater,train_split/Healthy Fish/Healthy Fish_253.jpg,train_split/Healthy Fish/Healthy Fish_aug_207.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-0ad8e9e2ee0d,current_freshwater-611158094cba,current_freshwater,current_freshwater,train_split/Healthy Fish/Healthy Fish_253.jpg,train_split/Healthy Fish/Healthy Fish_aug_32.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-0ad8e9e2ee0d,roboflow-18dc551b26dd,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_253.jpg,train/Healthy Fish/Healthy-Fish-32-_jpg.rf.bf680f7bad7c29774d72531ba4b0c782.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-d820917f88ee,roboflow-30dab8d0d3ff,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_aug_207.jpg,train/Healthy Fish/Healthy-Fish-26-_jpeg.rf.0cd631d9d44606a7dec2aad11cab462a.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-d820917f88ee,roboflow-18dc551b26dd,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_aug_207.jpg,train/Healthy Fish/Healthy-Fish-32-_jpg.rf.bf680f7bad7c29774d72531ba4b0c782.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-611158094cba,roboflow-30dab8d0d3ff,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_aug_32.jpg,train/Healthy Fish/Healthy-Fish-26-_jpeg.rf.0cd631d9d44606a7dec2aad11cab462a.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-611158094cba,roboflow-18dc551b26dd,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_aug_32.jpg,train/Healthy Fish/Healthy-Fish-32-_jpg.rf.bf680f7bad7c29774d72531ba4b0c782.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
roboflow-30dab8d0d3ff,roboflow-18dc551b26dd,roboflow,roboflow,train/Healthy Fish/Healthy-Fish-26-_jpeg.rf.0cd631d9d44606a7dec2aad11cab462a.jpg,train/Healthy Fish/Healthy-Fish-32-_jpg.rf.bf680f7bad7c29774d72531ba4b0c782.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,0072f2daf21200c0,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-c256add4e12c,mendeley-6358b5470b83,mendeley,mendeley,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_84/IMG20260315103853.jpg,Healthy Fish/Silver_carp_(Hypophthalmichthys molitrix)/Fish_86/IMG20260315103852.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,246163614940c1c1,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-e1f1c9e0cd6f,mendeley-9f1bd8a9ad2f,mendeley,mendeley,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073528_01.jpg,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073530.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2467061c3d3d3fde,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-e1f1c9e0cd6f,mendeley-0c5403bf83ff,mendeley,mendeley,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073528_01.jpg,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073532.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2467061c3d3d3fde,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-9f1bd8a9ad2f,mendeley-0c5403bf83ff,mendeley,mendeley,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073530.jpg,Bacterial Red Diseases/Silver_carp_(Hypophthalmichthys molitrix)/Fish_58/IMG20260207073532.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2467061c3d3d3fde,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-83e92e7407e0,mendeley-f024e24f4c9c,mendeley,mendeley,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_77/IMG20260213130310.jpg,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_78/IMG20260213130311.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,262e603800332b25,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-5ff8f8677aac,roboflow-4e99a000a972,current_freshwater,roboflow,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_39.jpg,train/Fungal diseases Saprolegniasis/Fungal-diseases-Saprolegniasis-28-_jpg.rf.d9e3312613bad130872287be080b2fb1.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,dhash,26fece5e7e1f1f1f,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-9a2ebf63a0d3,current_freshwater-b5f6934ec94e,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_126.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_54.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,dhash,2707070303076760,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-af3108405e97,roboflow-ac95a860ece1,current_freshwater,roboflow,train_split/Bacterial Red disease/Bacterial Red disease_19.jpg,test/Bacterial Red disease/Bacterial-Red-disease-22-_jpg.rf.f501facd336d0053f610ea16ade20002.jpg,Bacterial Red disease,Bacterial Red disease,Bacterial Red Disease,Bacterial Red Disease,dhash,2707970766b89530,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-9d9341ca2544,current_freshwater-ca95e9ec2d0f,current_freshwater,current_freshwater,train_split/Bacterial Red disease/Bacterial Red disease_aug_136.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_32.jpg,Bacterial Red disease,Bacterial Red disease,Bacterial Red Disease,Bacterial Red Disease,dhash,278b99cec3d15948,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-7032279621ab,current_freshwater-4d7489bdaa0a,current_freshwater,current_freshwater,train_split/Bacterial Red disease/Bacterial Red disease_114.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_43.jpg,Bacterial Red disease,Bacterial Red disease,Bacterial Red Disease,Bacterial Red Disease,dhash,2830302020808000,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-b35f4870a2da,current_freshwater-5154f8d89c88,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_175.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_31.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,dhash,0080c06c6f260f43,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-7c56616ea386,current_freshwater-ba556e774d87,current_freshwater,current_freshwater,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_246.jpg,train_split/Bacterial diseases - Aeromoniasis/Bacterial diseases - Aeromoniasis_163.jpg,Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis,Aeromoniasis,Aeromoniasis,dhash,0080f8eff3f1f959,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-ba556e774d87,roboflow-44a217f7ba75,current_freshwater,roboflow,train_split/Bacterial diseases - Aeromoniasis/Bacterial diseases - Aeromoniasis_163.jpg,train/Bacterial diseases - Aeromoniasis/Bacterial-diseases-Aeromoniasis-26-_jpg.rf.0ac86b95cbdbc22be1b5f902f0f01757.jpg,Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis,Aeromoniasis,Aeromoniasis,dhash,0080f8eff3f1f959,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-30c260015fd9,mendeley-fb339260d74f,mendeley,mendeley,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072008.jpg,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072009.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2f82f3f3fbbbf3e3,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-30c260015fd9,mendeley-8fd0d254e4e6,mendeley,mendeley,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072008.jpg,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072011.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2f82f3f3fbbbf3e3,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-fb339260d74f,mendeley-8fd0d254e4e6,mendeley,mendeley,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072009.jpg,Bacterial Red Diseases/Rui_(Labeo rohita)/Fish_48/IMG20260207072011.jpg,Bacterial Red Diseases,Bacterial Red Diseases,Bacterial Red Disease,Bacterial Red Disease,dhash,2f82f3f3fbbbf3e3,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-87c7ba96f1d9,mendeley-97c78f817ecf,mendeley,mendeley,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_77/IMG20260213130955.jpg,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_77/IMG20260213130956.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,2fb41c8e76ec6070,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-87c7ba96f1d9,mendeley-e52203c2a78d,mendeley,mendeley,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_77/IMG20260213130955.jpg,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_78/IMG20260213130953.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,2fb41c8e76ec6070,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
mendeley-97c78f817ecf,mendeley-e52203c2a78d,mendeley,mendeley,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_77/IMG20260213130956.jpg,Healthy Fish/Grass_carp_(Ctenopharyngodon idella)/Fish_78/IMG20260213130953.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,dhash,2fb41c8e76ec6070,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-c9c23ccad607,current_freshwater-8c9ecf26c8b8,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_15.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_125.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,3033e38282e1e160,0,NEAR_DUPLICATE,False,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-c9c23ccad607,roboflow-a492d333faa2,current_freshwater,roboflow,train_split/Parasitic diseases/Parasitic diseases_15.jpg,train/Parasitic diseases/Parasitic-diseases-17-_jpg.rf.75579b878b14ee5d047307796e6537e9.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,3033e38282e1e160,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-c9c23ccad607,roboflow-628d1257fb95,current_freshwater,roboflow,train_split/Parasitic diseases/Parasitic diseases_15.jpg,train/Parasitic diseases/Parasitic-diseases-4-_jpg.rf.d9a2f79ac2587c0d5184abb214e2ed6b.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,3033e38282e1e160,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-8c9ecf26c8b8,roboflow-a492d333faa2,current_freshwater,roboflow,train_split/Parasitic diseases/Parasitic diseases_aug_125.jpg,train/Parasitic diseases/Parasitic-diseases-17-_jpg.rf.75579b878b14ee5d047307796e6537e9.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,3033e38282e1e160,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
current_freshwater-8c9ecf26c8b8,roboflow-628d1257fb95,current_freshwater,roboflow,train_split/Parasitic diseases/Parasitic diseases_aug_125.jpg,train/Parasitic diseases/Parasitic-diseases-4-_jpg.rf.d9a2f79ac2587c0d5184abb214e2ed6b.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,dhash,3033e38282e1e160,0,NEAR_DUPLICATE,True,SAME_LABEL,KEEP_SAME_SPLIT,"identical dHash, different bytes (policy: near-duplicate groups stay in one split)"
